english_word,part_of_speech,transcription,russian_word,speech
soul,(n.),[səʊl],душа,[sound:soul.mp3]
depress,(v.),[dɪˈpres],"подавлять, угнетать",[sound:depress.mp3]
aircraft,(n.),[ˈɛrkræft],самолет,[sound:aircraft.mp3]
resource,(n.),[rɪˈsɔːs],"ресурс, запас, средство",[sound:resource.mp3]
assure,(v.),[əˈʃʊə(r)],"уверять, заверять, убеждать",[sound:assure.mp3]
emotional,(adj.),[ɪˈməʊʃən(ə)l],"эмоциональный, взволнованный",[sound:emotional.mp3]
studio,(n.),[ˈstjuːdɪəʊ],"студия, ателье, мастерская",[sound:studio.mp3]
threatening,(adj.),[ˈθretənɪŋ],"грозящий, угрожающий",[sound:threatening.mp3]
star,(v.),[ˈstɑr],"играть в главных ролях, блистать",[sound:star.mp3]
ink,(n.),[ɪŋk],чернила,[sound:ink.mp3]
timetable,(n.),[ˈtaɪmˌteɪbəl],расписание,[sound:timetable.mp3]
kilogram,(n.),[kilogram],килограмм,[sound:kilogram.mp3]
regret,(v.),[rɪˈɡret],"сожалеть, раскаиваться",[sound:regret.mp3]
June,(n.),[dʒuːn],июнь,[sound:june.mp3]
chapter,(n.),[ˈtʃæptə(r)],"глава (книги), отрезок, период",[sound:chapter.mp3]
theory,(n.),[ˈθɪərɪ],теория,[sound:theory.mp3]
ending,(n.),[ˈendɪŋ],"завершение, окончание",[sound:ending.mp3]
smash,(n.),[smæʃ],"шум, грохот, успех",[sound:smash.mp3]
background,(n.),[ˈbækɡraʊnd],"происхождение, задний план, подноготная (чего-л.)",[sound:background.mp3]
grant,(v.),[ɡrɑːnt],"дарить, жаловать",[sound:grant.mp3]
conservative,(adj.),[kənˈsəːvətɪv],"консервативный, традиционный",[sound:conservative.mp3]
retirement,(n.),[rɪˈtaɪəmənt],отставка,[sound:retirement.mp3]
indication,(n.),[ɪndɪˈkeɪʃ(ə)n],"намек, подсказка, признак",[sound:indication.mp3]
assistant,(adj.),[əˈsɪst(ə)nt],вспомогательный,[sound:assistant.mp3]
deal,(n.),[ˈdiːl],"сделка, соглашение, некоторое количество",[sound:deal.mp3]
council,(n.),[ˈkaʊns(ə)l],совет (орган власти),[sound:council.mp3]
nicely,(adv.),[ˈnaɪslɪ],"любезно, хорошо, нарядно",[sound:nicely.mp3]
satisfaction,(n.),[sætɪsˈfækʃ(ə)n],удовлетворение,[sound:satisfaction.mp3]
plenty,(adj.),[ˈplentiː],"обильный, превосходный",[sound:plenty.mp3]
pull,(n.),[ˈpʊl],"рывок, тяга",[sound:pull.mp3]
supporter,(n.),[səˈpɔːtə(r)],"сторонник, болельщик, кормилец",[sound:supporter.mp3]
attraction,(n.),[əˈtrækʃ(ə)n],"влечение, привлекательность",[sound:attraction.mp3]
focus,(n.),[ˈfəʊkəs],"центр, сосредоточие",[sound:focus.mp3]
estate,(n.),[ɪˈsteɪt],"поместье, имение, имущество",[sound:estate.mp3]
considerable,(adj.),[kənˈsɪdərəb(ə)l],"значительный, существенный",[sound:considerable.mp3]
precisely,(adv.),[prɪˈsaɪslɪ],"точно, строго, определённо",[sound:precisely.mp3]
celebration,(n.),[selɪˈbreɪʃ(ə)n],празднование,[sound:celebration.mp3]
importantly,(adv.),[ɪmˈpɔrtəntli],"важно, значительно, существенно",[sound:importantly.mp3]
access,(n.),[ˈækses],доступ,[sound:access.mp3]
adequately,(adv.),[ˈædɪkwətli],"в достаточной мере, удовлетворительно, адекватно",[sound:adequately.mp3]
attempt,(n.),[əˈtempt],"попытка, проба, покушение",[sound:attempt.mp3]
tone,(n.),[təʊn],"звук, тон",[sound:tone.mp3]
discipline,(n.),[ˈdɪsɪplɪn],"дисциплина, порядок",[sound:discipline.mp3]
objective,(n.),[əbˈdʒektɪv],"цель, объект, стремление",[sound:objective.mp3]
species,(n.),[ˈspiːʃɪz],"вид, порода",[sound:species.mp3]
retain,(v.),[rɪˈteɪn],"держать, удерживать",[sound:retain.mp3]
each other,(pron.),[ˈiːtʃ ˈəðər&nbsp;&nbsp;],друг друга,[sound:each_other.mp3]
practically,(adv.),[ˈpræktɪkəli],практически,[sound:practically.mp3]
impose,(v.),[ɪmˈpəʊz],"облагать, налагать",[sound:impose.mp3]
mix,(n.),[ˈmɪks],"смесь, неразбериха",[sound:mix.mp3]
unique,(adj.),[juːˈniːk],"уникальный, единственный",[sound:unique.mp3]
newly,(adv.),[ˈnjuːlɪ],"заново, вновь",[sound:newly.mp3]
nest,(n.),[ˈnest],гнездо,[sound:nest.mp3]
criterion,(n.),[kraɪˈtɪərɪən],"критерий, признак",[sound:criterion.mp3]
contest,(n.),[ˈkɒntest],конкурс,[sound:contest.mp3]
curtain,(n.),[ˈkəːt(ə)n],"занавеска, штора",[sound:curtain.mp3]
guess,(n.),[ˈges],"гипотеза, догадка",[sound:guess.mp3]
eliminate,(v.),[ɪˈlɪmɪneɪt],"устранять, исключать, уничтожать",[sound:eliminate.mp3]
skillful,(adj.),[ˈskɪlfʊl],"умелый, искусный",[sound:skillful.mp3]
amused,(adj.),[əˈmjuːzd],веселый,[sound:amused.mp3]
significant,(adj.),[sɪɡˈnɪfɪkənt],"значительный, важный, существенный",[sound:significant.mp3]
March,(n.),[mɑːtʃ],март,[sound:march.mp3]
essay,(n.),[ˈeseɪ],"очерк, испытание, опыт",[sound:essay.mp3]
reasonably,(adv.),[ˈriːznəbəli],"разумно, здраво",[sound:reasonably.mp3]
reduction,(n.),[rɪˈdʌkʃ(ə)n],"снижение, понижение, спад",[sound:reduction.mp3]
anticipate,(v.),[ænˈtɪsɪpeɪt],"предвидеть, предчувствовать",[sound:anticipate.mp3]
well known,(adj.),[ˈwel ˈnoʊn],общеизвестный,[sound:well_known.mp3]
accidental,(adj.),[æksɪˈdent(ə)l],случайный,[sound:accidental.mp3]
means,(n.),[ˈmiːnz],"средство, способ, метод, возможность",[sound:means.mp3]
obey,(v.),[əˈbeɪ],"подчиняться, слушаться",[sound:obey.mp3]
ad,(n.),[æd],"объявление, реклама (сокр.)",[sound:ad.mp3]
survey,(n.),[ˈsəːveɪ],"опрос, обозрение",[sound:survey.mp3]
post office,(n.),[ˈpoʊst ˈɑfəs],почтовое отделение,[sound:post_office.mp3]
bacteria,(n.),[bækˈtɪərɪə],бактерия,[sound:bacteria.mp3]
